               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.045432,            0.017921,                   0,             0.67074,             0.63722,             0.58105,             0.23422,            0.053296,           0.0089798,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.045712,            0.018674,                   0,             0.62162,             0.51418,             0.60558,             0.19133,            0.058943,           0.0082522,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.054712,            0.019414,                   0,             0.62217,              0.6875,             0.56207,             0.22979,            0.054111,           0.0083459,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.045482,            0.018194,                   0,             0.54854,              0.6875,             0.48351,             0.15703,            0.059384,           0.0080082,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.043167,            0.017727,                   0,             0.73908,                0.75,             0.60757,             0.22007,             0.05049,           0.0083304,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.039563,            0.016976,                   0,              0.6626,             0.61434,             0.54947,             0.23944,             0.05566,           0.0078263,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.049028,            0.016607,                   0,             0.72845,                0.75,              0.6066,             0.17715,             0.05466,           0.0078388,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.043848,            0.015159,                   0,              0.7313,             0.68084,             0.60099,              0.2408,            0.051753,           0.0080333,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.046109,            0.019282,                   0,             0.73586,                0.75,             0.61007,             0.25767,            0.049714,           0.0080251,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.040975,              0.0144,                   0,             0.56983,             0.66314,             0.49172,             0.16689,            0.055771,            0.007727,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.045865,            0.014354,                   0,              0.7474,             0.74024,             0.62732,             0.28082,            0.050439,           0.0078407,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.038776,             0.01455,                   0,             0.74774,             0.74154,             0.64327,             0.27498,            0.048824,           0.0078404,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.038219,              0.0148,                   0,             0.74584,             0.73441,             0.63542,             0.29282,            0.050885,           0.0076692,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.042586,            0.014374,                   0,             0.74107,              0.7165,                0.64,             0.31534,             0.05237,           0.0076588,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.044867,            0.014407,                   0,             0.74761,                0.75,             0.64376,             0.22222,            0.048824,           0.0076113,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.036131,            0.014415,                   0,             0.70414,              0.6875,             0.64041,             0.30169,             0.04914,           0.0075192,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.034046,             0.01413,                   0,             0.67536,              0.6875,             0.63163,             0.31996,            0.049294,           0.0073851,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.038549,            0.014756,                   0,             0.73615,                0.75,             0.66603,             0.28359,            0.052647,           0.0072847,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.042204,            0.014237,                   0,             0.74414,                0.75,             0.66923,               0.332,            0.049419,           0.0073183,                   0,            0.004555,            0.004555,            0.004555
                  57,             0.03226,            0.013496,                   0,             0.68354,              0.6875,             0.64094,             0.33562,            0.047302,           0.0073854,                   0,            0.004456,            0.004456,            0.004456
